set	band	rareflag	baseId	pos	rating	pac	sho	pas	dri	def	phy
totw	9	3	106231	ST	80	68	80	61	71	54	90
totw	8	3	108080	RM	80	84	68	83	77	80	72
totw	8	3	6826	CDM	80	46	73	84	71	82	76
totw	9	3	184344	CB	80	73	54	70	65	82	86
totw	9	3	147445	LM	80	77	86	82	82	44	77
totw	8	3	167237	ST	80	78	84	66	75	46	73
totw	8	3	200223	CAM	80	76	74	77	86	60	52
totw	8	3	150415	CAM	80	82	77	77	86	53	60
totw	8	3	185239	CB	80	78	42	68	69	83	81
totw	9	3	135455	RB	80	80	76	81	75	82	79
totw	9	3	159147	CB	80	66	64	75	66	83	80
totw	8	3	153296	CAM	80	68	73	80	74	72	78
totw	8	3	158626	RB	80	79	66	78	75	80	76
totw	9	3	170369	ST	80	86	78	80	89	41	53
totw	8	3	173146	CM	80	68	71	88	78	67	52
totw	8	3	170733	LM	80	89	70	78	84	50	56
totw	9	3	158232	RM	80	84	78	71	86	44	75
totw	8	3	175379	RM	80	77	76	86	81	50	50
totw	8	3	164376	ST	80	58	80	61	69	49	88
totw	8	3	137506	CAM	80	76	86	74	84	53	72
totw	8	3	207865	CB	80	79	42	67	63	81	74
totw	8	3	140384	ST	80	75	82	66	76	47	83
totw	8	3	198076	CB	80	69	52	71	61	85	79
totw	8	3	170815	CM	79	74	70	81	78	77	67
totw	8	3	177358	CDM	79	72	65	75	67	79	70
totw	8	3	137494	ST	79	94	75	56	77	47	73
totw	8	3	183870	LW	79	85	74	78	77	50	64
totw	8	3	110376	ST	79	73	85	76	82	48	78
totw	8	3	136553	ST	79	55	86	73	72	41	83
totw	8	3	191725	CAM	79	73	85	84	80	40	57
totw	8	3	107715	CB	79	53	58	61	65	81	85
totw	8	3	199451	ST	79	83	85	72	83	43	75
totw	8	3	187688	CAM	79	45	76	84	81	51	62
totw	8	3	189560	CDM	79	58	75	74	67	79	80
totw	8	3	156713	CB	79	56	57	64	54	84	82
totw	8	3	177666	LM	79	83	78	76	79	52	76
totw	9	3	141200	CB	79	61	52	63	53	79	81
totw	9	3	189250	ST	79	81	78	56	73	49	83
totw	8	3	52270	LB	79	69	60	70	59	83	82
totw	8	3	148122	CB	79	59	42	70	47	81	82
totw	8	3	187075	ST	79	85	83	71	83	48	66
totw	9	3	192615	CB	79	60	53	64	57	82	83
totw	8	3	183711	CM	79	76	76	80	78	72	72
totw	8	3	176794	ST	79	67	82	73	77	54	78
totw	9	3	202652	LW	79	91	69	70	84	58	48
totw	8	3	198784	CDM	79	90	74	73	86	50	53
totw	8	3	199556	CM	79	69	64	83	83	73	62
totw	8	3	3622	CB	79	51	47	66	56	82	81
totw	8	3	165740	RM	79	78	76	80	83	51	52
totw	8	3	204963	RB	79	84	41	80	79	79	65
totw	8	3	175092	LB	79	78	64	68	67	83	78
totw	8	3	189574	CDM	79	60	63	77	72	79	69
totw	8	3	157430	LB	79	51	85	86	77	72	60
totw	8	3	182862	RB	79	75	69	76	77	81	71
totw	8	3	185373	CAM	79	81	78	77	77	58	67
totw	9	3	53405	LB	79	75	63	82	74	80	74
totw	8	3	185000	CAM	79	76	81	79	80	43	76
totw	8	3	186296	CDM	78	72	72	82	80	74	64
totw	8	3	192362	RW	78	94	67	75	78	43	55
totw	8	3	2492	LB	78	90	75	75	77	79	67
totw	8	3	184252	ST	78	73	78	61	71	51	81
totw	8	3	187607	ST	78	77	81	71	72	51	79
totw	8	3	105318	CAM	78	74	74	87	79	58	50
totw	8	3	172114	CAM	78	72	75	78	79	47	67
totw	8	3	149568	ST	78	56	78	61	78	47	89
totw	9	3	199561	LW	78	81	77	76	85	54	55
totw	8	3	188388	CAM	78	78	74	81	83	42	48
totw	8	3	180216	RB	78	84	62	78	77	80	70
totw	8	3	186961	ST	78	80	75	58	74	46	80
totw	8	3	201862	CB	78	73	56	73	63	82	83
totw	9	3	193338	ST	78	80	77	62	78	44	78
totw	8	3	177528	ST	78	80	77	58	70	46	81
totw	8	3	197242	CDM	78	60	56	75	59	81	84
totw	8	3	192658	RB	78	79	53	77	73	77	69
totw	8	3	170570	CAM	78	75	70	76	78	58	50
totw	8	3	159171	LW	78	73	75	76	85	43	54
totw	8	3	135697	ST	78	77	81	70	82	46	60
totw	8	3	138456	CAM	78	87	78	76	83	48	69
totw	8	3	158543	ST	78	78	79	66	75	47	81
totw	9	3	181459	RB	78	77	59	80	70	77	79
totw	8	3	200104	LW	78	84	83	71	81	42	64
totw	8	3	176270	ST	78	87	79	45	77	49	77
totw	8	3	105474	CM	78	56	76	85	71	73	67
totw	8	3	13130	CB	78	66	32	65	59	82	79
totw	8	3	174551	ST	78	75	81	78	80	56	68
totw	8	3	105454	RM	78	88	80	76	87	41	57
totw	8	3	194196	CB	78	75	43	66	72	81	82
totw	8	3	197890	CB	78	59	36	60	52	83	74
totw	9	3	193476	CAM	78	81	74	78	82	51	50
totw	8	3	183909	RM	78	88	64	75	85	46	51
totw	8	3	187492	LB	78	78	68	80	73	76	72
totw	9	3	184484	LM	78	69	84	77	72	57	66
totw	9	3	183483	ST	78	63	81	62	74	45	80
totw	8	3	3665	CAM	77	57	78	77	75	59	59
totw	8	3	196143	ST	77	86	80	64	80	42	64
totw	8	3	188177	CB	77	67	46	60	56	80	80
totw	8	3	192333	CB	77	69	43	69	68	82	81
totw	8	3	158351	LM	77	91	82	77	77	45	67
totw	9	3	110376	ST	77	72	83	74	81	46	75
totw	8	3	142603	LW	77	52	80	84	79	42	61
totw	8	3	185394	CB	77	58	56	63	60	81	80
totw	8	3	53436	ST	77	66	79	65	74	53	82
totw	8	3	185061	CAM	77	70	78	78	78	53	60
totw	9	3	191725	CAM	77	72	81	80	78	39	56
totw	8	3	3484	CB	77	53	36	64	55	83	75
totw	8	3	138181	CB	77	54	39	46	45	80	83
totw	8	3	40900	CB	77	62	46	65	50	80	77
totw	8	3	196073	ST	77	70	87	74	79	49	78
totw	8	3	107651	CAM	77	76	84	72	81	49	74
totw	8	3	197756	ST	77	79	78	73	79	47	71
totw	8	3	188155	RWB	77	75	67	79	75	79	72
totw	8	3	192387	ST	77	80	78	55	74	48	81
totw	8	3	153177	ST	77	88	78	67	86	45	64
totw	8	3	197853	RM	77	80	50	72	70	80	78
totw	8	3	181816	RB	77	79	48	71	69	80	69
totw	8	3	183394	RM	77	81	78	74	77	78	75
totw	8	3	143102	CB	77	55	58	57	61	80	82
totw	8	3	172949	CB	77	75	39	55	45	80	83
totw	8	3	155979	ST	77	77	86	74	79	47	68
totw	8	3	51394	CAM	77	59	80	78	71	71	82
totw	8	3	155976	CM	77	55	79	85	76	67	71
totw	8	3	51123	CB	77	61	78	81	74	75	75
totw	9	3	187075	ST	77	84	79	69	81	47	64
totw	8	3	193301	ST	77	87	75	70	79	51	74
totw	8	3	1075	CAM	77	48	85	74	81	50	54
totw	8	3	150565	LB	77	82	61	77	71	79	75
totw	8	3	159580	LB	77	79	56	70	72	79	64
totw	8	3	138810	CAM	77	71	78	78	82	47	60
totw	8	3	199418	LM	77	83	72	75	81	49	52
totw	8	3	204523	CM	77	67	67	86	79	61	53
totw	8	3	137960	RM	77	75	71	80	78	58	54
totw	9	3	199451	ST	77	82	79	71	81	42	74
totw	8	3	195365	RM	77	85	67	80	88	50	46
totw	8	3	193525	RB	77	79	52	67	68	80	76
totw	8	3	150309	RW	77	88	80	74	76	52	67
totw	8	3	179645	CB	77	63	44	67	50	82	77
totw	8	3	200458	LB	77	81	50	75	73	77	70
totw	9	3	193504	CB	77	75	36	62	63	82	84
totw	8	3	167706	ST	77	63	74	65	71	49	84
totw	8	3	152830	CB	77	77	63	66	66	79	75
totw	8	3	176285	CB	77	74	51	55	48	80	80
totw	8	3	111206	RB	77	78	57	78	74	77	72
totw	8	3	114123	ST	77	68	82	80	78	50	71
totw	8	3	202911	ST	74	76	81	68	76	42	72
totw	8	3	172290	LM	74	67	70	78	79	55	54
totw	8	3	207742	CAM	74	83	67	79	78	67	65
totw	8	3	158525	ST	74	70	75	57	71	56	88
totw	8	3	178251	RB	74	74	60	81	69	77	68
totw	8	3	202335	CB	74	54	63	68	63	79	79
totw	8	3	172143	LW	74	71	78	80	79	61	59
totw	8	3	20096	CM	74	51	60	76	69	72	46
totw	8	3	198243	ST	74	84	78	63	69	48	81
totw	8	3	177022	CF	74	77	72	70	86	50	62
totw	8	3	190155	RB	74	83	77	79	75	60	66
totw	8	3	156368	RW	74	59	77	78	76	40	54
totw	8	3	188860	ST	74	65	81	68	73	49	73
totw	8	3	142966	CAM	74	77	73	69	83	48	56
totw	8	3	4111	CB	74	37	42	38	37	83	81
totw	8	3	167669	CF	74	75	76	77	79	52	70
totw	8	3	139860	LB	74	76	67	72	68	75	71
totw	8	3	199178	CAM	74	76	70	74	71	76	67
totw	8	3	183766	CB	74	72	47	54	46	81	83
totw	8	3	204737	RM	74	91	70	68	83	37	42
totw	8	3	175753	RM	74	82	74	74	82	45	57
totw	8	3	186550	LB	74	76	74	78	76	77	68
totw	8	3	189218	CDM	74	68	73	82	75	64	60
totw	8	3	187598	CB	74	65	53	55	60	82	79
totw	8	3	192671	RW	74	80	76	66	80	47	79
totw	8	3	188325	ST	74	66	79	62	72	47	82
totw	8	3	183905	CAM	74	88	79	68	81	41	60
totw	8	3	152514	RM	74	79	76	71	83	48	55
totw	8	3	191834	ST	74	83	80	59	70	47	68
totw	8	3	169792	LM	74	86	76	67	80	49	77
totw	8	3	168444	ST	74	82	81	73	76	50	80
totw	8	3	159080	CM	74	75	77	72	72	70	66
totw	8	3	184624	ST	74	73	74	44	69	51	75
totw	8	3	100806	CAM	74	74	79	77	79	46	59
totw	8	3	201155	CAM	74	79	70	76	81	54	54
totw	8	3	188044	ST	74	83	82	68	79	44	72
totw	9	3	142603	CAM	74	51	78	82	76	41	60
totw	8	3	146377	RM	74	80	70	70	80	52	59
totw	8	3	150496	ST	74	83	78	60	76	43	74
totw	8	3	139792	CB	74	68	56	65	65	79	78
totw	8	3	53630	LB	74	73	71	75	68	78	88
totw	9	3	196073	ST	74	67	75	70	75	48	75
totw	8	3	110283	CAM	74	64	79	86	74	58	56
totw	8	3	135742	CB	74	55	47	65	47	79	77
totw	8	3	163828	ST	74	77	76	61	70	45	68
totw	9	3	188155	RB	74	74	63	77	74	76	70
totw	8	3	210935	RW	74	82	81	71	78	44	63
totw	8	3	201400	RM	74	78	72	61	83	52	62
totw	8	3	201377	CB	74	68	42	50	49	78	85
totw	8	3	213430	ST	74	67	79	60	74	44	74
totw	8	3	152588	CAM	74	66	76	75	74	62	66
totw	8	3	23015	ST	74	37	72	50	59	47	87
totw	8	3	194365	ST	74	79	74	74	81	46	79
totw	8	3	177578	CB	74	55	34	52	40	82	79
totw	8	3	139597	ST	74	78	77	60	72	50	80
totw	8	3	186695	CB	74	60	36	54	46	79	84
totw	8	3	52958	RB	74	73	44	72	68	80	65
totw	8	3	190919	ST	74	79	81	66	79	50	63
totw	8	3	203483	CM	74	77	74	73	76	65	74
totw	8	3	152741	CB	74	59	37	61	45	80	77
totw	9	3	107651	CAM	74	75	76	68	76	48	71
totw	8	3	193475	LB	74	78	56	78	74	78	79
totw	8	3	202934	CDM	74	79	65	78	78	73	59
totw	8	3	146762	CM	74	66	59	73	72	73	83
totw	9	3	155979	ST	74	76	82	71	77	46	66
totw	8	3	194209	ST	74	75	83	63	87	50	70
totw	9	3	204523	CM	74	66	65	81	77	60	51
totw	8	3	183526	LM	74	82	71	72	85	45	57
totw	8	3	51105	CB	74	39	35	58	56	76	80
totw	8	3	183498	CM	74	72	73	81	75	72	69
totw	8	3	193176	CM	74	68	74	78	72	64	56
totw	8	3	190143	LB	74	80	58	71	73	76	65
totw	9	3	195365	RM	74	84	61	77	87	48	45
totw	8	3	194932	RM	74	90	72	71	83	43	56
totw	8	3	190557	CM	74	70	76	81	73	64	63
totw	8	3	184472	LB	74	85	65	74	71	74	71
totw	8	3	198196	ST	74	65	80	50	67	50	81
totw	8	3	137551	LM	74	86	70	72	77	46	78
totw	8	3	201118	RB	74	80	66	74	76	73	64
totw	10	3	193504	CB	74	74	35	60	61	77	81
totw	8	3	182440	LW	74	85	70	71	80	49	60
totw	8	3	203038	LM	74	77	66	74	82	46	60
totw	8	3	187935	LW	74	77	71	74	76	53	59
totw	8	3	192778	ST	74	75	75	72	77	53	78
totw	8	3	138334	ST	74	70	83	65	79	43	59
totw	8	3	186839	ST	73	89	71	65	74	46	68
totw	8	3	3467	ST	73	71	79	54	72	47	70
totw	8	3	202857	RM	73	81	68	74	79	46	58
totw	8	3	198599	RB	73	83	57	62	70	77	67
totw	8	3	186130	CB	73	70	35	62	60	76	77
totw	8	3	169805	CM	73	62	66	75	72	67	67
totw	8	3	202201	CB	73	74	53	70	66	76	75
totw	8	3	204838	ST	73	79	74	62	73	45	80
totw	8	3	167306	CB	73	61	35	58	55	77	76
totw	8	3	197391	RB	73	81	66	76	74	75	68
totw	8	3	156112	CM	73	67	71	76	73	64	68
totw	8	3	190536	CM	73	73	72	74	76	62	64
totw	8	3	194135	LM	73	83	75	73	79	44	58
totw	8	3	143207	CB	73	64	54	62	64	78	79
totw	8	3	172620	CB	73	68	46	53	59	78	80
totw	8	3	46740	CM	73	58	65	73	74	41	46
totw	8	3	104476	CM	73	59	71	73	67	67	71
totw	8	3	136306	CB	73	51	67	57	57	74	81
totw	8	3	164464	ST	73	85	78	53	73	45	69
totw	8	3	172517	CM	73	80	72	71	74	72	65
totw	8	3	192678	ST	73	68	75	57	69	42	77
totw	8	3	189728	ST	73	85	71	69	84	44	66
totw	8	3	199152	ST	73	46	74	50	62	47	77
totw	8	3	187515	ST	73	67	77	62	74	46	72
totw	8	3	209440	ST	73	85	71	67	83	39	60
totw	8	3	52174	RM	73	76	74	73	75	56	65
totw	8	3	189241	CB	73	55	50	54	53	80	80
totw	8	3	138787	ST	73	60	83	63	67	44	65
totw	8	3	205083	CAM	73	70	72	82	76	54	58
totw	8	3	190722	ST	73	85	78	62	73	48	69
totw	8	3	111038	CAM	73	67	78	71	70	56	58
totw	8	3	200111	RB	73	87	52	77	74	74	74
totw	8	3	165804	ST	73	52	77	61	69	55	78
totw	8	3	169281	LM	73	87	74	70	74	41	70
totw	8	3	178684	CB	73	47	52	64	54	78	75
totw	8	3	212218	CB	73	55	31	60	50	79	72
totw	8	3	195093	ST	73	67	78	53	71	49	64
totw	8	3	175088	CB	73	52	63	65	48	80	79
totw	8	3	176733	ST	73	72	77	59	71	45	73
totw	8	3	45074	CF	73	70	79	77	78	48	69
totw	8	3	171137	CB	73	53	51	61	47	77	87
totw	8	3	167705	ST	73	81	81	65	74	45	72
totw	10	3	110376	ST	73	70	78	69	75	44	70
totw	8	3	142454	CDM	73	55	69	77	59	69	54
totw	8	3	204529	ST	73	80	74	56	75	47	70
totw	9	3	190155	RB	73	82	76	77	73	55	65
totw	8	3	51771	CAM	73	52	72	71	59	70	70
totw	8	3	171378	RWB	73	83	61	71	71	74	73
totw	8	3	146011	ST	73	87	75	59	80	45	76
totw	8	3	208022	ST	73	92	71	63	72	52	75
totw	9	3	180216	RB	73	82	63	74	77	76	66
totw	8	3	204136	ST	73	65	73	68	71	52	78
totw	8	3	168950	RM	73	77	72	72	80	48	75
totw	8	3	199189	CAM	73	80	67	74	74	60	67
totw	8	3	184664	CB	73	64	50	60	50	78	84
totw	8	3	186190	LB	73	91	57	77	76	72	71
totw	8	3	204690	ST	73	87	71	61	72	44	66
totw	8	3	188654	RB	73	56	32	55	40	77	73
totw	8	3	161938	ST	73	66	74	61	67	45	83
totw	8	3	203376	CB	73	67	65	66	61	76	84
totw	9	3	210935	RW	73	81	75	69	76	43	61
totw	8	3	190425	ST	73	77	75	50	72	43	68
totw	8	3	185194	CB	73	68	37	59	51	78	83
totw	9	3	193475	LB	73	77	54	77	72	74	76
totw	8	3	189167	CM	73	69	65	72	72	71	72
totw	8	3	213432	ST	73	65	73	56	71	42	72
totw	8	3	152787	CB	73	50	50	58	52	76	83
totw	8	3	203613	ST	73	66	80	61	67	47	79
totw	9	3	188044	ST	73	82	76	65	77	43	70
totw	9	3	159080	CM	73	74	70	69	70	68	64
totw	8	3	207614	LM	72	90	72	66	75	52	73
totw	8	3	168317	ST	72	68	72	63	72	48	77
totw	8	3	168290	RM	72	69	71	70	72	52	66
totw	8	3	184285	CAM	72	70	69	70	70	47	56
totw	8	3	209608	LM	72	93	68	65	77	45	53
totw	8	3	212772	CB	72	67	31	51	51	77	77
totw	8	3	199752	LM	72	93	66	62	73	47	65
totw	8	3	162315	CB	72	70	43	65	63	73	81
totw	8	3	202605	CB	72	57	53	56	51	78	73
totw	8	3	147001	LM	72	82	64	62	78	37	50
totw	9	3	137159	CB	72	60	65	74	63	75	68
totw	8	3	193584	LM	72	78	76	68	75	46	69
totw	8	3	203030	CB	72	68	45	60	50	75	75
totw	8	3	200478	CM	72	68	67	75	70	66	67
totw	8	3	165185	ST	72	69	80	38	64	42	79
totw	8	3	202371	RB	72	71	73	70	71	75	72
totw	8	3	202539	ST	72	78	79	66	70	41	66
totw	8	3	198426	CAM	72	71	70	76	73	62	55
totw	8	3	194091	CAM	72	75	63	69	76	50	46
totw	8	3	164234	LM	72	54	72	79	73	42	70
totw	8	3	203106	LM	72	83	68	72	75	57	55
totw	8	3	208722	LM	72	88	76	61	77	45	50
totw	8	3	192955	CM	72	68	65	80	71	51	56
totw	8	3	53027	CB	72	50	49	57	46	75	80
totw	8	3	145274	RM	72	82	66	64	77	47	54
totw	8	3	183682	CAM	71	79	73	71	75	51	66
totw	8	3	50908	LB	71	65	63	78	70	70	64
totw	8	3	202968	ST	71	74	69	69	72	52	65
totw	8	3	213114	RM	71	80	72	64	75	42	62
totw	8	3	169435	ST	71	74	72	58	67	48	66
totw	8	3	209620	LM	71	80	42	71	71	70	68
totw	8	3	158394	LB	71	73	58	72	67	72	69
totw	8	3	192067	ST	71	80	73	66	71	51	71
totw	8	3	199302	CAM	71	85	72	68	72	51	69
totw	8	3	184895	LM	71	82	75	69	75	42	61
totw	8	3	152883	CB	71	54	50	55	55	78	79
totw	8	3	205065	ST	71	84	68	56	75	42	64
totw	8	3	199121	RM	71	73	56	73	74	43	42
totw	8	3	168379	RM	71	74	63	64	76	55	61
totw	8	3	165169	CB	71	34	37	57	51	75	82
totw	8	3	188975	LM	71	71	75	69	79	52	49
totw	8	3	180440	CB	71	66	42	57	58	73	73
totw	8	3	169348	ST	71	82	77	55	75	42	70
totw	9	3	192678	ST	71	67	72	55	67	41	75
totw	8	3	205753	RW	71	89	69	73	80	37	57
totw	8	3	205670	ST	71	84	75	58	70	37	68
totw	9	3	164464	ST	71	85	74	51	70	44	68
totw	8	3	205559	ST	71	88	71	59	75	44	55
totw	8	3	189278	CM	71	70	65	73	72	58	53
totw	8	3	203574	CB	71	68	39	64	58	73	70
totw	8	3	178177	ST	71	78	74	60	71	44	71
totw	8	3	174859	CM	71	67	54	71	60	71	59
totw	8	3	189300	RB	71	84	48	72	73	69	54
totw	8	3	170353	ST	71	63	77	59	60	49	80
totw	8	3	205876	ST	71	78	75	57	73	44	67
totw	8	3	198904	CB	71	65	35	53	38	74	75
totw	8	3	186395	LM	71	73	63	68	73	58	52
totw	8	3	167653	CB	71	56	42	51	42	76	76
totw	8	3	49026	ST	71	61	70	56	62	48	83
totw	8	3	179633	CAM	71	80	69	70	72	44	58
totw	9	3	205083	CAM	71	69	64	78	74	53	54
totw	8	3	198335	LB	71	77	56	68	73	69	58
totw	8	3	138373	CB	71	53	67	72	63	75	72
totw	8	3	205431	ST	71	70	73	46	69	44	71
totw	8	3	211862	RM	71	74	60	72	70	50	65
totw	8	3	184301	ST	71	78	75	69	72	52	74
totw	8	3	208017	ST	71	66	73	49	65	49	73
totw	8	3	178703	CM	71	56	71	67	64	58	68
totw	8	3	173667	RM	71	78	66	68	72	46	61
totw	8	3	200318	ST	70	73	70	57	68	45	74
totw	8	3	197981	ST	70	64	66	45	64	45	83
totw	8	3	159157	CM	70	76	68	72	74	67	65
totw	8	3	44960	LB	70	43	39	64	59	75	81
totw	8	3	193339	CAM	70	63	66	69	76	60	63
totw	8	3	208379	CB	70	75	48	60	55	73	72
totw	8	3	192328	RM	70	80	66	66	75	46	62
totw	9	3	198599	RB	70	82	52	58	68	73	62
totw	8	3	101490	ST	70	47	72	44	68	48	80
totw	8	3	203362	LM	70	84	68	66	77	46	64
totw	8	3	194083	ST	70	72	68	60	72	48	70
totw	8	3	192663	ST	70	71	72	45	60	43	71
totw	8	3	198782	CAM	70	71	60	75	67	66	68
totw	8	3	162926	LM	70	66	79	66	74	54	55
totw	8	3	158933	CAM	70	78	69	74	69	62	66
totw	8	3	184550	ST	70	71	73	61	72	47	75
totw	8	3	165314	CAM	70	55	68	66	66	52	75
totw	8	3	208675	ST	70	82	67	43	69	41	72
totw	8	3	200446	ST	70	75	79	63	75	44	60
totw	8	3	122040	ST	70	72	74	50	74	42	67
totw	8	3	213133	CAM	70	74	65	79	77	40	50
totw	8	3	178521	RW	69	63	72	43	60	46	75
totw	8	3	152092	CAM	69	75	71	67	77	43	65
totw	8	3	199915	CB	69	55	34	52	55	74	72
totw	8	3	179660	RM	69	93	57	65	69	43	54
totw	8	3	164529	CB	69	68	38	58	57	74	78
totw	8	3	199569	ST	69	72	67	56	66	47	75
totw	8	3	176347	CB	69	72	33	51	55	72	71
totw	8	3	202858	RM	69	89	64	61	79	48	58
totw	8	3	52280	CB	69	61	40	49	43	74	72
totw	8	3	176828	LB	69	79	56	63	69	68	70
totw	8	3	140595	CB	69	52	60	61	59	68	78
totw	8	3	212718	CAM	69	71	69	69	68	59	64
totw	8	3	159582	CAM	69	78	65	60	72	45	56
totw	8	3	177576	RW	69	74	65	70	72	47	58
totw	8	3	104296	CM	69	59	63	72	71	54	61
totw	8	3	192473	LM	69	73	68	53	63	49	72
totw	8	3	142455	RB	69	54	54	67	66	71	69
totw	8	3	201083	RM	69	78	67	62	74	47	68
totw	8	3	159578	RW	69	79	69	58	66	44	62
totw	8	3	201266	RM	69	77	71	65	71	51	58
totw	8	3	198264	RM	68	83	62	66	71	43	65
totw	8	3	152598	RB	68	89	57	61	66	69	69
totw	8	3	195479	RB	68	72	50	67	67	70	64
totw	8	3	202686	ST	68	91	75	49	73	39	55
totw	8	3	177673	CAM	67	73	71	68	70	58	66
totw	8	3	213648	CDM	64	64	61	69	70	57	61
totw	8	3	207562	ST	64	70	66	42	60	43	70
totw	8	3	191657	LM	64	70	53	67	70	52	54
totw	8	3	207491	ST	64	64	60	59	55	53	60
totw	8	3	198279	CB	64	55	40	52	38	71	78
totw	8	3	180357	CB	64	35	43	46	35	67	64
totw	8	3	212933	ST	64	68	64	46	58	43	78
totw	8	3	201038	ST	64	68	70	59	69	41	66
totw	8	3	178284	CM	64	81	69	71	75	55	50
totw	8	3	199283	LB	64	75	55	69	64	59	58
totw	8	3	216172	ST	64	68	60	40	61	40	71
totw	8	3	201285	ST	64	68	70	47	65	41	63
totw	8	3	213355	ST	64	87	58	41	76	38	59
totw	8	3	213000	LM	64	71	60	59	54	46	57
totw	8	3	189295	CB	64	55	30	48	41	72	65
totw	8	3	209453	RM	64	79	56	73	65	62	75
totw	8	3	183994	ST	64	63	67	53	62	45	73
totw	8	3	202337	ST	64	73	70	66	64	50	80
totw	8	3	202518	RM	64	76	73	56	76	50	50
totw	8	3	202225	LM	64	68	61	65	64	56	70
totw	8	3	149654	CB	64	54	50	49	50	70	66
totw	8	3	140456	ST	64	63	69	47	58	43	66
totw	8	3	207858	ST	64	78	69	48	65	41	63
totw	8	3	202175	ST	64	76	66	62	65	41	63
totw	8	3	202989	LM	64	81	66	49	62	42	71
totw	8	3	208771	CB	64	56	49	56	48	62	59
totw	8	3	208448	LM	64	75	72	63	76	37	51
totw	8	3	201484	ST	64	72	62	56	63	41	57
totw	8	3	206635	RM	64	68	69	64	71	54	57
totw	8	3	205214	RM	64	73	65	61	66	41	54
totw	8	3	180894	CM	64	72	57	60	64	45	58
totw	8	3	191111	RB	64	80	40	62	61	63	58
totw	8	3	162391	LM	64	75	56	59	71	46	38
totw	8	3	156704	RM	64	63	57	65	63	56	57
totw	8	3	200826	ST	64	56	60	42	52	45	78
totw	8	3	203976	LM	64	79	43	62	52	63	56
totw	8	3	204612	CDM	64	68	67	66	71	63	60
totw	8	3	179543	RB	64	75	56	60	66	65	56
totw	8	3	145210	RM	64	73	64	62	67	44	52
totw	8	3	205556	CB	64	66	35	48	44	69	69
totw	8	3	186136	ST	64	73	70	49	62	34	62
totw	8	3	186847	ST	64	53	69	50	57	48	79
totw	8	3	200845	ST	64	72	64	61	60	46	61
totw	8	3	154738	LM	64	64	61	67	64	65	59
totw	8	3	180351	RM	64	61	66	63	64	40	60
totw	8	3	212591	CB	64	57	38	52	53	69	73
totw	8	3	189958	CM	64	63	67	75	67	52	62
totw	8	3	209782	LM	64	77	57	62	71	34	38
totw	8	3	19410	ST	64	63	68	50	50	42	76
totw	8	3	190499	CM	64	80	67	64	70	45	55
totw	8	3	198455	RB	64	85	63	63	68	67	55
totw	8	3	139259	LM	64	73	60	67	65	42	58
totw	8	3	209277	CB	64	48	40	60	40	64	55
totw	8	3	175893	LB	64	69	60	70	64	64	67
totw	9	3	152598	LB	64	88	55	58	64	66	65
totw	8	3	201927	LM	64	84	55	49	67	40	53
totw	8	3	122586	ST	64	66	69	69	67	59	69
totw	8	3	214595	RB	64	72	65	40	68	53	70
totw	8	3	206662	CB	64	57	35	50	47	71	71
totw	9	3	178521	RW	64	63	71	46	60	44	73
totw	8	3	170086	CB	64	67	37	37	35	66	72
totw	8	3	149717	ST	64	67	70	55	58	37	58
totw	8	3	204292	ST	64	78	70	34	58	40	56
totw	8	3	175657	CDM	64	62	74	75	65	61	70
totw	8	3	202837	ST	64	62	61	37	52	38	64
totw	8	3	203816	RM	64	79	60	71	67	41	54
totw	8	3	184753	RB	64	64	44	65	51	62	60
totw	9	3	177673	RM	64	72	60	64	66	57	63
totw	8	3	212196	LM	64	70	50	51	53	47	58
totw	8	3	169078	LM	64	79	67	63	70	37	50
totw	8	3	176211	ST	64	67	73	48	63	50	77
totw	8	3	200960	CM	64	77	68	66	62	60	63
totw	8	3	186172	CB	64	78	60	53	57	67	79
totw	8	3	178089	ST	64	87	76	61	69	51	59
totw	8	3	163756	CB	64	57	40	49	36	70	71
totw	8	3	193891	ST	64	63	72	47	65	42	62
totw	8	3	215374	ST	64	85	55	50	66	38	58
totw	9	3	198264	RM	64	82	59	55	69	42	64
totw	8	3	173532	RM	64	91	61	52	76	39	56
totw	8	3	169972	ST	64	67	73	59	73	48	67
totw	8	3	190017	ST	64	43	69	57	59	45	75
totw	8	3	183999	CM	64	57	47	66	62	67	67
totw	9	3	195479	RB	64	72	38	64	65	67	61
totw	8	3	208549	CM	64	71	40	54	43	61	69
totw	8	3	169593	CM	64	71	44	74	63	66	62
totw	8	3	194681	ST	64	65	63	46	62	36	66
totw	8	3	193073	CB	64	52	30	37	31	71	76
totw	8	3	202526	ST	64	63	71	53	61	42	69
totw	8	3	200758	CB	64	66	31	53	56	68	69
totw	8	3	177278	ST	64	55	69	48	53	51	73
totw	8	3	201999	LB	64	76	38	63	64	72	65
totw	8	3	193871	LW	64	79	67	56	68	40	53
totw	8	3	215582	CAM	64	70	64	67	65	44	61
totw	8	3	208065	ST	64	52	63	32	60	39	75
totw	8	3	200574	CB	64	68	40	40	35	74	77
totw	8	3	150729	ST	64	63	69	56	59	49	69
totw	8	3	200210	CAM	64	68	52	51	65	37	47
totw	8	3	208919	CAM	64	87	56	64	73	33	47
totw	8	3	207537	LB	64	77	53	67	71	68	69
totw	8	3	202676	ST	64	79	67	59	69	44	56
totw	8	3	106134	CB	64	46	42	58	50	70	72
